@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MO111 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/new/top.v":25:27:25:29|Tristate driver led_1 (in view: work.top(verilog)) on net led[15] (in view: work.top(verilog)) has its enable tied to GND.
@N: MO111 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/new/top.v":25:27:25:29|Tristate driver led_2 (in view: work.top(verilog)) on net led[14] (in view: work.top(verilog)) has its enable tied to GND.
@N: MO111 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/new/top.v":25:27:25:29|Tristate driver led_3 (in view: work.top(verilog)) on net led[13] (in view: work.top(verilog)) has its enable tied to GND.
@N: MO111 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/new/top.v":25:27:25:29|Tristate driver led_4 (in view: work.top(verilog)) on net led[12] (in view: work.top(verilog)) has its enable tied to GND.
@N: MO111 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/new/top.v":25:27:25:29|Tristate driver led_5 (in view: work.top(verilog)) on net led[11] (in view: work.top(verilog)) has its enable tied to GND.
@N: MO111 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/new/top.v":25:27:25:29|Tristate driver led_6 (in view: work.top(verilog)) on net led[10] (in view: work.top(verilog)) has its enable tied to GND.
@N: MO111 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/new/top.v":25:27:25:29|Tristate driver led_7 (in view: work.top(verilog)) on net led[9] (in view: work.top(verilog)) has its enable tied to GND.
@N: MO111 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/new/top.v":25:27:25:29|Tristate driver led_8 (in view: work.top(verilog)) on net led[8] (in view: work.top(verilog)) has its enable tied to GND.
@N: MT206 |Auto Constrain mode is enabled
@N: MO106 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/imports/vivado_workspace/ooc_amber/Sources/hdl/a25_functions.vh":94:0:94:3|Found ROM .delname. (in view: work.a25_decode(verilog)) with 16 words by 15 bits.
@N: MO106 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/imports/vivado_workspace/ooc_amber/Sources/hdl/a25_functions.vh":94:0:94:3|Found ROM .delname. (in view: work.a25_decode(verilog)) with 16 words by 15 bits.
@N: MO106 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/imports/vivado_workspace/ooc_amber/Sources/hdl/a25_functions.vh":94:0:94:3|Found ROM .delname. (in view: work.a25_decode(verilog)) with 16 words by 15 bits.
@N: MO106 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/imports/vivado_workspace/ooc_amber/Sources/hdl/a25_functions.vh":94:0:94:3|Found ROM .delname. (in view: work.a25_register_bank(verilog)) with 16 words by 15 bits.
@N: BN362 :|Removing sequential instance mem_0_0_sr_rst_0 (in view: VhdlGenLib.top_RAMN_R_W_256_21_TFFF_block_ram_ns_sbt(netlist)) because it does not drive other instances.
@N: BN362 :|Removing sequential instance mem_0_0_sr_rst_0 (in view: VhdlGenLib.top_RAMN_R_W_256_21_TFFF_block_ram_ns_sbt_0(netlist)) because it does not drive other instances.
@N: BN362 :|Removing sequential instance mem_0_0_sr_rst_0 (in view: VhdlGenLib.top_RAMN_R_W_256_21_TFFF_block_ram_ns_sbt_1(netlist)) because it does not drive other instances.
@N: BN362 :|Removing sequential instance mem_0_0_sr_rst_0 (in view: VhdlGenLib.top_RAMN_R_W_256_21_TFFF_block_ram_ns_sbt_2(netlist)) because it does not drive other instances.
@N: MF179 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/imports/vivado_workspace/ooc_amber/Sources/hdl/a25_icache.v":309:22:309:44|Found 32 by 32 bit equality operator ('==') un1_invalid_read (in view: work.a25_icache(verilog))
@N: MF179 :"/home/elicahill/icemachine/examples/ipassurance_designs/basicrsa_base.srcs/sources_1/imports/vivado_workspace/ooc_amber/Sources/hdl/a25_icache.v":319:26:319:50|Found 32 by 32 bit equality operator ('==') un1_wb_hit (in view: work.a25_icache(verilog))
