* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.08.27940

* Build Date:         Sep 12 2017 08:02:28

* File Generated:     Dec 6 2018 15:12:18

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX1K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
2, PIO, not used, , , , , , leftBank
3, PIO, not used, , , , , , leftBank
4, PIO, not used, , , , , , leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, not used, , , , , , leftBank
8, PIO, not used, , , , , , leftBank
9, PIO, not used, , , , , , leftBank
10, PIO, not used, , , , , , leftBank
11, PIO, not used, , , , , , leftBank
12, PIO, not used, , , , , , leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
19, PIO, not used, , , , , , leftBank
20, PIO_GBIN, not used, , , , , , leftBank
21, PIO_GBIN, clk, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, leftBank
22, PIO, not used, , , , , , leftBank
23, PIO, not used, , , , , , leftBank
24, PIO, not used, , , , , , leftBank
25, PIO, not used, , , , , , leftBank
26, PIO, not used, , , , , , leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, not used, , , , , , leftBank
29, PIO, not used, , , , , , leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, not used, , , , , , leftBank
32, PIO, not used, , , , , , leftBank
33, PIO, not used, , , , , , leftBank
34, PIO, not used, , , , , , leftBank
35, AGND, not used, , , , , , UnknownBank
36, AVDD, not used, , , , , , UnknownBank
37, PIO, not used, , , , , , bottomBank
38, PIO, not used, , , , , , bottomBank
39, PIO, not used, , , , , , bottomBank
41, PIO, not used, , , , , , bottomBank
42, PIO, not used, , , , , , bottomBank
43, PIO, not used, , , , , , bottomBank
44, PIO, rx_overrun_error, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
45, PIO, rx_busy, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
46, VCCIO_2, not used, , , , , , bottomBank
47, PIO, tx_busy, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
48, PIO, output_axis_tready, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
49, PIO_GBIN, not used, , , , , , bottomBank
50, PIO_GBIN, not used, , , , , , bottomBank
51, VCC, not used, , , , , , UnknownBank
52, PIO, not used, , , , , , bottomBank
56, PIO, output_axis_tvalid, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
57, VCCIO_2, not used, , , , , , bottomBank
58, PIO, not used, , , , , , bottomBank
59, GND, not used, , , , , , UnknownBank
60, PIO, input_axis_tready, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
61, PIO, input_axis_tvalid, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
62, PIO, rst, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
63, PIO, not used, , , , , , bottomBank
64, PIO, not used, , , , , , bottomBank
65, CDONE, not used, , , , , , bottomBank
66, CRESET_B, not used, , , , , , bottomBank
67, SPI_SO, not used, , , , , , bottomBank
68, SPI_SI, not used, , , , , , bottomBank
69, GND, not used, , , , , , UnknownBank
70, SPI_SCK, not used, , , , , , bottomBank
71, SPI_SS_B, not used, , , , , , bottomBank
72, VDDIO_SPI, not used, , , , , , bottomBank
73, PIO, not used, , , , , , rightBank
74, PIO, not used, , , , , , rightBank
75, PIO, not used, , , , , , rightBank
76, PIO, not used, , , , , , rightBank
77, TRST_B, not used, , , , , , rightBank
78, PIO, input_axis_tdata[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
79, PIO, input_axis_tdata[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
80, PIO, input_axis_tdata[2], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
81, PIO, input_axis_tdata[3], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
86, GND, not used, , , , , , UnknownBank
87, PIO, input_axis_tdata[4], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
88, PIO, input_axis_tdata[5], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
89, VCCIO_1, not used, , , , , , rightBank
90, PIO, input_axis_tdata[6], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
91, PIO, input_axis_tdata[7], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
92, VCC, not used, , , , , , UnknownBank
93, PIO_GBIN, not used, , , , , , rightBank
94, PIO_GBIN, not used, , , , , , rightBank
95, PIO, rx_frame_error, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
96, PIO, not used, , , , , , rightBank
97, PIO, not used, , , , , , rightBank
98, PIO, not used, , , , , , rightBank
99, PIO, not used, , , , , , rightBank
100, VCCIO_1, not used, , , , , , rightBank
101, PIO, not used, , , , , , rightBank
102, PIO, not used, , , , , , rightBank
103, GND, not used, , , , , , UnknownBank
104, PIO, not used, , , , , , rightBank
105, PIO, txd, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
106, PIO, rxd, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
107, PIO, not used, , , , , , rightBank
108, VPP_PUMP, not used, , , , , , UnknownBank
109, VPP_DIRECT, not used, , , , , , UnknownBank
111, VCC, not used, , , , , , UnknownBank
112, PIO, output_axis_tdata[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
113, PIO, output_axis_tdata[1], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
114, PIO, output_axis_tdata[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
115, PIO, output_axis_tdata[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
116, PIO, output_axis_tdata[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
117, PIO, output_axis_tdata[5], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
118, PIO, output_axis_tdata[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
119, PIO, output_axis_tdata[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
120, PIO, not used, , , , , , topBank
121, PIO, not used, , , , , , topBank
122, PIO, not used, , , , , , topBank
123, VCCIO_0, not used, , , , , , topBank
128, PIO_GBIN, not used, , , , , , topBank
129, PIO_GBIN, not used, , , , , , topBank
132, GND, not used, , , , , , UnknownBank
133, VCCIO_0, not used, , , , , , topBank
134, PIO, not used, , , , , , topBank
135, PIO, not used, , , , , , topBank
136, PIO, not used, , , , , , topBank
137, PIO, not used, , , , , , topBank
138, PIO, not used, , , , , , topBank
139, PIO, not used, , , , , , topBank
140, GND, not used, , , , , , UnknownBank
141, PIO, not used, , , , , , topBank
142, PIO, not used, , , , , , topBank
143, PIO, not used, , , , , , topBank
