design,metric,delta,golden,test
ooc/pic,clocks.fixed_CLK_I_gen.tns,0.0,0.0,0.0
ooc/pic,clocks.fixed_CLK_I_gen.tns_endpoints,0.0,144.0,144.0
ooc/pic,clocks.fixed_CLK_I_gen.tns_fail,0.0,0.0,0.0
ooc/pic,clocks.fixed_CLK_I_gen.tpws,0.0,0.0,0.0
ooc/pic,clocks.fixed_CLK_I_gen.wns,0.0,6.121,6.121
ooc/pic,clocks.fixed_CLK_I_gen.wpws,0.0,4.5,4.5
byu/Sout_reg,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/UpDownButtonCount,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/buttoncount,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/calc,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/counter,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/counters,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/debouncer,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/lightWave,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/oneshot,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/regfile,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/riscvSimpleDatapath,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/riscv_final,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/rx,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/shiftReg,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/stopwatch,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/tx,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/uart,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/uart_debouncer,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/uart_rx,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/uart_ssc,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/uart_tx,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/ID_stage,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/IF_stage,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/MEM_stage,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/a25_decode,clocks.fixed_clk_gen.tns,0.0,-269.175,-269.175
ooc/a25_wishbone,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/aes128,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/basicrsa,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/bubblesort,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/control_unit,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/data_path,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/hight,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/jpegencode,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/median,clocks.fixed_clk_gen.tns,0.0,-8.46,-8.46
ooc/mips_16,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/natalius_processor,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/pci_mini,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/quadratic_func,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/random_pulse_generator,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
ooc/simon_core,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
vtr_benchmarks/mkPktMerge,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
vtr_benchmarks/mkSMAdapter4B,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
vtr_benchmarks/raygentop,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
vtr_benchmarks/stereovision2,clocks.fixed_clk_gen.tns,0.0,0.0,0.0
byu/Sout_reg,clocks.fixed_clk_gen.tns_endpoints,0.0,1.0,1.0
byu/UpDownButtonCount,clocks.fixed_clk_gen.tns_endpoints,0.0,36.0,36.0
byu/buttoncount,clocks.fixed_clk_gen.tns_endpoints,0.0,36.0,36.0
byu/calc,clocks.fixed_clk_gen.tns_endpoints,0.0,35.0,35.0
byu/counter,clocks.fixed_clk_gen.tns_endpoints,0.0,3.0,3.0
byu/counters,clocks.fixed_clk_gen.tns_endpoints,0.0,29.0,29.0
byu/debouncer,clocks.fixed_clk_gen.tns_endpoints,0.0,40.0,40.0
byu/lightWave,clocks.fixed_clk_gen.tns_endpoints,0.0,4.0,4.0
byu/oneshot,clocks.fixed_clk_gen.tns_endpoints,0.0,3.0,3.0
byu/regfile,clocks.fixed_clk_gen.tns_endpoints,0.0,64.0,64.0
byu/riscvSimpleDatapath,clocks.fixed_clk_gen.tns_endpoints,0.0,63.0,63.0
byu/riscv_final,clocks.fixed_clk_gen.tns_endpoints,0.0,2622.0,2622.0
byu/rx,clocks.fixed_clk_gen.tns_endpoints,0.0,93.0,93.0
byu/shiftReg,clocks.fixed_clk_gen.tns_endpoints,0.0,38.0,38.0
byu/stopwatch,clocks.fixed_clk_gen.tns_endpoints,0.0,96.0,96.0
byu/tx,clocks.fixed_clk_gen.tns_endpoints,0.0,36.0,36.0
byu/uart,clocks.fixed_clk_gen.tns_endpoints,0.0,254.0,254.0
byu/uart_debouncer,clocks.fixed_clk_gen.tns_endpoints,0.0,40.0,40.0
byu/uart_rx,clocks.fixed_clk_gen.tns_endpoints,0.0,93.0,93.0
byu/uart_ssc,clocks.fixed_clk_gen.tns_endpoints,0.0,17.0,17.0
byu/uart_tx,clocks.fixed_clk_gen.tns_endpoints,0.0,36.0,36.0
ooc/ID_stage,clocks.fixed_clk_gen.tns_endpoints,0.0,25.0,25.0
ooc/IF_stage,clocks.fixed_clk_gen.tns_endpoints,0.0,8.0,8.0
ooc/MEM_stage,clocks.fixed_clk_gen.tns_endpoints,0.0,16.0,16.0
ooc/a25_decode,clocks.fixed_clk_gen.tns_endpoints,0.0,910.0,910.0
ooc/a25_wishbone,clocks.fixed_clk_gen.tns_endpoints,0.0,1158.0,1158.0
ooc/aes128,clocks.fixed_clk_gen.tns_endpoints,0.0,7232.0,7232.0
ooc/basicrsa,clocks.fixed_clk_gen.tns_endpoints,0.0,952.0,952.0
ooc/bubblesort,clocks.fixed_clk_gen.tns_endpoints,0.0,882.0,882.0
ooc/control_unit,clocks.fixed_clk_gen.tns_endpoints,0.0,10.0,10.0
ooc/data_path,clocks.fixed_clk_gen.tns_endpoints,0.0,434.0,434.0
ooc/hight,clocks.fixed_clk_gen.tns_endpoints,0.0,198.0,198.0
ooc/jpegencode,clocks.fixed_clk_gen.tns_endpoints,0.0,93149.0,93149.0
ooc/median,clocks.fixed_clk_gen.tns_endpoints,0.0,71.0,71.0
ooc/mips_16,clocks.fixed_clk_gen.tns_endpoints,0.0,8.0,8.0
ooc/natalius_processor,clocks.fixed_clk_gen.tns_endpoints,0.0,14.0,14.0
ooc/pci_mini,clocks.fixed_clk_gen.tns_endpoints,0.0,492.0,492.0
ooc/quadratic_func,clocks.fixed_clk_gen.tns_endpoints,0.0,142.0,142.0
ooc/random_pulse_generator,clocks.fixed_clk_gen.tns_endpoints,0.0,35.0,35.0
ooc/simon_core,clocks.fixed_clk_gen.tns_endpoints,0.0,49.0,49.0
vtr_benchmarks/mkPktMerge,clocks.fixed_clk_gen.tns_endpoints,0.0,14.0,14.0
vtr_benchmarks/mkSMAdapter4B,clocks.fixed_clk_gen.tns_endpoints,0.0,2074.0,2074.0
vtr_benchmarks/raygentop,clocks.fixed_clk_gen.tns_endpoints,0.0,151.0,151.0
vtr_benchmarks/stereovision2,clocks.fixed_clk_gen.tns_endpoints,0.0,12.0,12.0
byu/Sout_reg,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/UpDownButtonCount,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/buttoncount,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/calc,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/counter,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/counters,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/debouncer,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/lightWave,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/oneshot,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/regfile,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/riscvSimpleDatapath,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/riscv_final,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/rx,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/shiftReg,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/stopwatch,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/tx,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/uart,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/uart_debouncer,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/uart_rx,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/uart_ssc,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
byu/uart_tx,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/ID_stage,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/IF_stage,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/MEM_stage,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/a25_decode,clocks.fixed_clk_gen.tns_fail,0.0,325.0,325.0
ooc/a25_wishbone,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/aes128,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/basicrsa,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/bubblesort,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/control_unit,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/data_path,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/hight,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/jpegencode,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/median,clocks.fixed_clk_gen.tns_fail,0.0,8.0,8.0
ooc/mips_16,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/natalius_processor,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/pci_mini,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/quadratic_func,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/random_pulse_generator,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
ooc/simon_core,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/mkPktMerge,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/mkSMAdapter4B,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/raygentop,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/stereovision2,clocks.fixed_clk_gen.tns_fail,0.0,0.0,0.0
