design,count,sum_delta,mean_delta,worst_delta
vtr_benchmarks/stereovision1,12,-1928.536,-160.71133333333333,-964.0
ooc/jpegencode,12,-722.586,-60.2155,-361.0
ooc/pid,12,-80.394,-6.6995000000000005,-40.0
vtr_benchmarks/mkSMAdapter4B,12,-32.548,-2.7123333333333335,-16.0
ooc/pic,12,-28.116,-2.343,-14.0
ooc/basicrsa,12,-20.07,-1.6725,-10.0
ooc/hight,12,-19.768,-1.6473333333333333,-10.0
ooc/a25_wishbone,12,-18.304,-1.5253333333333332,-9.0
byu/stopwatch,12,-16.628,-1.3856666666666666,-8.0
vtr_benchmarks/mkPktMerge,12,-14.248,-1.1873333333333334,-7.0
ooc/pci_mini,12,-14.165999999999999,-1.1804999999999999,-7.0
vtr_benchmarks/sha,12,-12.502,-1.0418333333333334,-6.0
byu/riscvSimpleDatapath,12,-10.94,-0.9116666666666666,-5.0
ooc/tiny_encryption_algorithm,12,-9.912,-0.8260000000000001,-5.0
byu/tx,12,-8.896,-0.7413333333333334,-4.0
byu/riscv_final,12,-8.536,-0.7113333333333333,-4.0
byu/counters,12,-8.39,-0.6991666666666667,-4.0
ooc/bubblesort,12,-7.942,-0.6618333333333334,-4.0
vtr_benchmarks/raygentop,12,-7.940000000000001,-0.6616666666666667,-4.0
ooc/uart2spi,12,-4.486000000000001,-0.3738333333333334,-2.0
byu/uart_debouncer,12,-4.468,-0.37233333333333335,-2.0
byu/debouncer,12,-4.318,-0.3598333333333333,-2.0
ooc/wb_lcd,12,-4.2620000000000005,-0.3551666666666667,-2.0
ooc/cpu8080,12,-3.895999999999999,-0.3246666666666666,-2.0
byu/buttoncount,12,-3.872,-0.32266666666666666,-2.0
ooc/mips_16,12,-1.7399999999999987,-0.14499999999999988,-1.0
byu/rx,12,-0.7059999999999994,-0.058833333333333286,-0.3529999999999997
ooc/median,12,-0.40800000000000036,-0.03400000000000003,-6.902
ooc/a25_coprocessor,12,-0.3240000000000016,-0.027000000000000135,-0.1620000000000008
byu/calc,12,-0.2420000000000008,-0.020166666666666732,-0.1210000000000004
byu/uart_tx,12,-0.2199999999999988,-0.018333333333333233,-0.1099999999999994
byu/uart_rx,12,-0.1639999999999996,-0.013666666666666633,-0.0819999999999998
ooc/control_unit,12,-0.0980000000000006,-0.008166666666666716,-0.0490000000000003
byu/regfile,12,-0.0679999999999996,-0.005666666666666633,-0.0339999999999998
byu/UpDownButtonCount,12,-0.0540000000000002,-0.004500000000000017,-0.0270000000000001
ooc/bcd_adder,12,-0.0259999999999998,-0.00216666666666665,-0.0129999999999999
ooc/simon_core,12,-0.0039999999999994,-0.00033333333333328334,-0.0019999999999997
vtr_benchmarks/stereovision2,12,0.0,0.0,0.0
ooc/natalius_processor,12,0.0,0.0,0.0
byu/Sout_reg,12,0.0,0.0,0.0
byu/lightWave,12,0.0,0.0,0.0
byu/counter,12,0.0,0.0,0.0
byu/oneshot,12,0.0,0.0,0.0
ooc/MEM_stage,12,0.0,0.0,0.0
ooc/IF_stage,12,0.0,0.0,0.0
ooc/random_pulse_generator,12,0.0080000000000026,0.0006666666666668834,0.0
vtr_benchmarks/stereovision3,12,0.0120000000000004,0.0010000000000000332,0.0
ooc/ID_stage,12,0.0680000000000012,0.005666666666666767,0.0
ooc/quadratic_func,12,0.1159999999999996,0.009666666666666634,0.0
byu/shiftReg,12,0.1239999999999986,0.010333333333333217,0.0
byu/uart_ssc,12,0.2279999999999996,0.018999999999999965,0.0
ooc/aes128,12,0.4460000000000014,0.037166666666666785,0.0
ooc/data_path,12,5.684,0.4736666666666667,-0.1579999999999999
byu/uart,12,8.234,0.6861666666666667,0.0
ooc/a25_decode,12,37.73399999999998,3.1444999999999985,-25.37800000000001
