metric,count,mean_delta,sum_delta,mean_abs_delta,min_delta,max_delta
clocks.fixed_tm3_clk_v0_gen.tns_endpoints,2,-482.0,-964.0,482.0,-964.0,0.0
overall_tns_endpoints,55,-27.054545454545455,-1488.0,27.30909090909091,-964.0,4.0
clocks.fixed_i_clk_gen.tns_endpoints,2,-20.0,-40.0,20.0,-40.0,0.0
clocks.fixed_CLK_I_gen.tns_endpoints,1,-14.0,-14.0,14.0,-14.0,-14.0
clocks.fixed_clk_gen.tns_endpoints,44,-10.295454545454545,-453.0,10.613636363636363,-361.0,4.0
clocks.fixed_clock_gen.tns_endpoints,2,-3.5,-7.0,3.5,-5.0,-2.0
clocks.fixed_clk_i_gen.tns_endpoints,2,-3.0,-6.0,3.0,-6.0,0.0
clocks.fixed_line_clk_gen.tns_endpoints,1,-2.0,-2.0,2.0,-2.0,-2.0
clocks.fixed_wb_clk_i_gen.tns_endpoints,1,-2.0,-2.0,2.0,-2.0,-2.0
clocks.fixed_clk_gen.tns,44,-0.7336363636363639,-32.28000000000001,0.7336363636363639,-25.37800000000001,0.0
overall_tns,55,-0.586909090909091,-32.28000000000001,0.586909090909091,-25.37800000000001,0.0
clocks.fixed_line_clk_gen.wns,1,-0.2430000000000003,-0.2430000000000003,0.2430000000000003,-0.2430000000000003,-0.2430000000000003
clocks.fixed_i_clk_gen.wns,2,-0.1795000000000004,-0.3590000000000008,0.1795000000000004,-0.197,-0.1620000000000008
clocks.fixed_clk_i_gen.wns,2,-0.132,-0.264,0.132,-0.2510000000000001,-0.0129999999999999
clocks.fixed_wb_clk_i_gen.wns,1,-0.1310000000000002,-0.1310000000000002,0.1310000000000002,-0.1310000000000002,-0.1310000000000002
clocks.fixed_tm3_clk_v0_gen.wns,2,-0.13099999999999978,-0.26199999999999957,0.137,-0.2679999999999998,0.0060000000000002
overall_wns,55,-0.0960363636363636,-5.281999999999998,0.14432727272727275,-1.302,0.2450000000000001
clocks.fixed_clk_gen.wns,44,-0.09229545454545449,-4.060999999999997,0.14802272727272725,-1.302,0.2450000000000001
clocks.fixed_CLK_I_gen.wns,1,-0.0579999999999998,-0.0579999999999998,0.0579999999999998,-0.0579999999999998,-0.0579999999999998
clocks.fixed_clk_i_gen.tns_fail,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_clk_gen.tpws,44,0.0,0.0,0.0,0.0,0.0
clocks.fixed_clock_gen.tns_fail,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_clk_i_gen.wpws,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_clock_gen.tns,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_i_clk_gen.tpws,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_clk_i_gen.tpws,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_clk_i_gen.tns,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_clk_gen.wpws,44,0.0,0.0,0.0,0.0,0.0
clocks.fixed_CLK_I_gen.wpws,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_CLK_I_gen.tns,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_CLK_I_gen.tpws,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_CLK_I_gen.tns_fail,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_wb_clk_i_gen.wpws,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_wb_clk_i_gen.tpws,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_i_clk_gen.tns_fail,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_line_clk_gen.tns,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_i_clk_gen.tns,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_clock_gen.tpws,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_clock_gen.wpws,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_i_clk_gen.wpws,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_tm3_clk_v0_gen.tpws,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_tm3_clk_v0_gen.tns_fail,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_tm3_clk_v0_gen.tns,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_tm3_clk_v0_gen.wpws,2,0.0,0.0,0.0,0.0,0.0
clocks.fixed_wb_clk_i_gen.tns,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_line_clk_gen.wpws,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_line_clk_gen.tpws,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_line_clk_gen.tns_fail,1,0.0,0.0,0.0,0.0,0.0
overall_wpws,55,0.0,0.0,0.0,0.0,0.0
overall_tpws,55,0.0,0.0,0.0,0.0,0.0
clocks.fixed_wb_clk_i_gen.tns_fail,1,0.0,0.0,0.0,0.0,0.0
clocks.fixed_clock_gen.wns,2,0.047999999999999945,0.09599999999999989,0.047999999999999945,0.0439999999999995,0.0520000000000004
overall_tns_fail,55,0.9454545454545454,52.0,0.9454545454545454,0.0,44.0
clocks.fixed_clk_gen.tns_fail,44,1.1818181818181819,52.0,1.1818181818181819,0.0,44.0
