design,metric,golden,test,percent_change
byu/Sout_reg,overall_tns,0.0,0.0,0.0
byu/UpDownButtonCount,overall_tns,0.0,0.0,0.0
byu/buttoncount,overall_tns,0.0,0.0,0.0
byu/calc,overall_tns,0.0,0.0,0.0
byu/counter,overall_tns,0.0,0.0,0.0
byu/counters,overall_tns,0.0,0.0,0.0
byu/debouncer,overall_tns,0.0,0.0,0.0
byu/lightWave,overall_tns,0.0,0.0,0.0
byu/oneshot,overall_tns,0.0,0.0,0.0
byu/regfile,overall_tns,0.0,0.0,0.0
byu/riscvSimpleDatapath,overall_tns,0.0,0.0,0.0
byu/riscv_final,overall_tns,0.0,0.0,0.0
byu/rx,overall_tns,0.0,0.0,0.0
byu/shiftReg,overall_tns,0.0,0.0,0.0
byu/stopwatch,overall_tns,0.0,0.0,0.0
byu/tx,overall_tns,0.0,0.0,0.0
byu/uart,overall_tns,0.0,0.0,0.0
byu/uart_debouncer,overall_tns,0.0,0.0,0.0
byu/uart_rx,overall_tns,0.0,0.0,0.0
byu/uart_ssc,overall_tns,0.0,0.0,0.0
byu/uart_tx,overall_tns,0.0,0.0,0.0
ooc/ID_stage,overall_tns,0.0,0.0,0.0
ooc/IF_stage,overall_tns,0.0,0.0,0.0
ooc/MEM_stage,overall_tns,0.0,0.0,0.0
ooc/a25_coprocessor,overall_tns,0.0,0.0,0.0
ooc/a25_wishbone,overall_tns,0.0,0.0,0.0
ooc/aes128,overall_tns,0.0,0.0,0.0
ooc/bcd_adder,overall_tns,0.0,0.0,0.0
ooc/basicrsa,overall_tns,0.0,0.0,0.0
ooc/bubblesort,overall_tns,0.0,0.0,0.0
ooc/control_unit,overall_tns,0.0,0.0,0.0
ooc/jpegencode,overall_tns,0.0,0.0,0.0
ooc/cpu8080,overall_tns,0.0,0.0,0.0
ooc/data_path,overall_tns,0.0,0.0,0.0
ooc/hight,overall_tns,0.0,0.0,0.0
ooc/natalius_processor,overall_tns,0.0,0.0,0.0
ooc/mips_16,overall_tns,0.0,0.0,0.0
ooc/pic,overall_tns,0.0,0.0,0.0
ooc/pci_mini,overall_tns,0.0,0.0,0.0
ooc/wb_lcd,overall_tns,0.0,0.0,0.0
vtr_benchmarks/mkPktMerge,overall_tns,0.0,0.0,0.0
ooc/pid,overall_tns,0.0,0.0,0.0
ooc/quadratic_func,overall_tns,0.0,0.0,0.0
ooc/random_pulse_generator,overall_tns,0.0,0.0,0.0
ooc/simon_core,overall_tns,0.0,0.0,0.0
ooc/tiny_encryption_algorithm,overall_tns,0.0,0.0,0.0
ooc/uart2spi,overall_tns,0.0,0.0,0.0
vtr_benchmarks/sha,overall_tns,0.0,0.0,0.0
vtr_benchmarks/stereovision1,overall_tns,0.0,0.0,0.0
vtr_benchmarks/mkSMAdapter4B,overall_tns,0.0,0.0,0.0
vtr_benchmarks/raygentop,overall_tns,0.0,0.0,0.0
vtr_benchmarks/stereovision2,overall_tns,0.0,0.0,0.0
vtr_benchmarks/stereovision3,overall_tns,0.0,0.0,0.0
ooc/a25_decode,overall_tns,-201.19,-226.568,-12.613947015259214
ooc/median,overall_tns,0.0,-6.902,-690200000000000.0
