design,metric,golden,test,percent_change
ooc/median,overall_wns,0.337,-0.965,-386.3501483679525
ooc/jpegencode,overall_wns,0.624,0.331,-46.955128205128204
byu/riscv_final,overall_wns,0.747,0.479,-35.87684069611781
vtr_benchmarks/sha,overall_wns,2.02,1.769,-12.42574257425743
byu/riscvSimpleDatapath,overall_wns,5.194,4.724,-9.04890257989988
vtr_benchmarks/mkSMAdapter4B,overall_wns,3.503,3.229,-7.821866971167571
vtr_benchmarks/stereovision1,overall_wns,3.625,3.357,-7.393103448275856
byu/tx,overall_wns,7.184,6.736,-6.236080178173724
byu/rx,overall_wns,7.13,6.777,-4.950911640953713
byu/stopwatch,overall_wns,6.495,6.181,-4.83448806774442
ooc/data_path,overall_wns,3.657,3.499,-4.32048126879956
ooc/pid,overall_wns,4.926,4.729,-3.999187982135608
ooc/uart2spi,overall_wns,6.649,6.406,-3.654684915024821
byu/uart_debouncer,overall_wns,6.847,6.613,-3.417555133635168
byu/counters,overall_wns,6.904,6.709,-2.8244495944380112
byu/debouncer,overall_wns,6.444,6.285,-2.467411545623833
ooc/a25_wishbone,overall_wns,6.474,6.322,-2.347852950262591
ooc/wb_lcd,overall_wns,6.787,6.656,-1.9301606011492594
ooc/a25_coprocessor,overall_wns,8.499,8.337,-1.9061066007765712
byu/calc,overall_wns,6.535,6.414,-1.851568477429234
byu/uart_tx,overall_wns,6.954,6.844,-1.5818234109864746
vtr_benchmarks/mkPktMerge,overall_wns,8.071,7.947,-1.5363647627307604
ooc/pci_mini,overall_wns,6.725,6.642,-1.2342007434944133
ooc/basicrsa,overall_wns,2.855,2.82,-1.2259194395796897
byu/uart_rx,overall_wns,6.96,6.878,-1.1781609195402278
ooc/pic,overall_wns,6.362,6.304,-0.9116629990568977
ooc/control_unit,overall_wns,7.905,7.856,-0.6198608475648371
byu/regfile,overall_wns,7.332,7.298,-0.4637206764866313
byu/UpDownButtonCount,overall_wns,7.644,7.617,-0.35321821036106926
ooc/bcd_adder,overall_wns,6.632,6.619,-0.1960193003618803
ooc/simon_core,overall_wns,7.133,7.131,-0.028038693396884615
ooc/IF_stage,overall_wns,8.168,8.168,0.0
byu/oneshot,overall_wns,8.751,8.751,0.0
byu/lightWave,overall_wns,8.754,8.754,0.0
byu/Sout_reg,overall_wns,8.351,8.351,0.0
byu/counter,overall_wns,8.75,8.75,0.0
ooc/MEM_stage,overall_wns,8.419,8.419,0.0
ooc/natalius_processor,overall_wns,8.267,8.267,0.0
vtr_benchmarks/stereovision2,overall_wns,8.705,8.705,0.0
ooc/random_pulse_generator,overall_wns,8.171,8.175,0.04895361644843148
vtr_benchmarks/stereovision3,overall_wns,7.583,7.589,0.07912435711460145
ooc/bubblesort,overall_wns,8.327,8.356,0.34826468115767883
vtr_benchmarks/raygentop,overall_wns,8.265,8.295,0.36297640653356755
ooc/ID_stage,overall_wns,8.158,8.192,0.4167688158862552
byu/shiftReg,overall_wns,8.603,8.665,0.7206788329652376
byu/buttoncount,overall_wns,7.92,7.984,0.8080808080808087
ooc/tiny_encryption_algorithm,overall_wns,4.109,4.153,1.0708201508882842
ooc/cpu8080,overall_wns,4.52,4.572,1.150442477876117
ooc/quadratic_func,overall_wns,4.816,4.874,1.2043189368770728
byu/uart_ssc,overall_wns,7.837,7.951,1.4546382544340932
ooc/mips_16,overall_wns,8.045,8.175,1.615910503418282
byu/uart,overall_wns,6.479,6.596,1.8058342336780366
ooc/hight,overall_wns,3.317,3.433,3.4971359662345387
ooc/aes128,overall_wns,5.265,5.488,4.235517568850917
ooc/a25_decode,overall_wns,-1.788,-1.543,13.702460850111864
